4	2	1	0.1	3.67e+05	2.75e+06
8	2	1	1.2	2.73e+06	2.28e+06
8	2	2	0.1	2.09e+05	3.14e+06
16	2	1	0.9	2.19e+06	2.35e+06
16	2	2	0.3	6.09e+05	2.28e+06
16	2	3	0.1	1.86e+05	2.80e+06
32	2	1	1.1	2.52e+06	2.36e+06
32	2	2	0.5	1.20e+06	2.57e+06
32	2	3	0.2	5.81e+05	2.91e+06
32	2	4	0.1	2.02e+05	3.04e+06
64	2	1	2.1	4.87e+06	2.28e+06
64	2	2	1.2	2.75e+06	2.29e+06
64	2	3	0.5	1.19e+06	2.56e+06
64	2	4	0.3	6.32e+05	2.37e+06
64	2	5	0.1	1.90e+05	2.85e+06
128	2	1	4.1	9.41e+06	2.28e+06
128	2	2	2.3	5.33e+06	2.28e+06
128	2	3	1.1	2.46e+06	2.31e+06
128	2	4	0.5	1.17e+06	2.51e+06
128	2	5	0.2	5.95e+05	2.97e+06
128	2	6	0.1	2.22e+05	3.34e+06
256	2	1	8.1	1.83e+07	2.27e+06
256	2	2	4.8	1.09e+07	2.28e+06
256	2	3	2.1	4.88e+06	2.29e+06
256	2	4	1.1	2.50e+06	2.35e+06
256	2	5	0.6	1.37e+06	2.28e+06
256	2	6	0.3	6.40e+05	2.40e+06
256	2	7	0.1	2.73e+05	4.09e+06
512	2	1	17.7	3.99e+07	2.25e+06
512	2	2	8.5	1.92e+07	2.27e+06
512	2	3	4.1	9.32e+06	2.26e+06
512	2	4	2.2	5.07e+06	2.30e+06
512	2	5	1.2	2.83e+06	2.36e+06
512	2	6	0.6	1.39e+06	2.31e+06
512	2	7	0.3	7.76e+05	2.33e+06
512	2	8	0.1	3.71e+05	2.78e+06
1024	2	1	33.5	7.55e+07	2.26e+06
1024	2	2	17.7	3.98e+07	2.25e+06
1024	2	3	8.7	1.95e+07	2.26e+06
1024	2	4	4.7	1.07e+07	2.27e+06
1024	2	5	2.5	5.84e+06	2.31e+06
1024	2	6	1.3	3.00e+06	2.37e+06
1024	2	7	0.7	1.77e+06	2.42e+06
1024	2	8	0.4	9.65e+05	2.41e+06
1024	2	9	0.2	5.87e+05	2.93e+06
2048	2	1	68.9	1.56e+08	2.26e+06
2048	2	2	39.1	8.82e+07	2.25e+06
2048	2	3	20.3	4.58e+07	2.26e+06
2048	2	4	9.5	2.14e+07	2.26e+06
2048	2	5	5.2	1.18e+07	2.26e+06
2048	2	6	2.6	5.99e+06	2.30e+06
2048	2	7	1.5	3.39e+06	2.31e+06
2048	2	8	0.9	2.18e+06	2.33e+06
2048	2	9	0.6	1.41e+06	2.35e+06
2048	2	10	0.5	1.16e+06	2.50e+06
4096	2	1	147.5	3.33e+08	2.26e+06
4096	2	2	72.8	1.64e+08	2.26e+06
4096	2	3	34.3	7.75e+07	2.26e+06
4096	2	4	18.9	4.25e+07	2.25e+06
4096	2	5	9.7	2.19e+07	2.26e+06
4096	2	6	5.3	1.19e+07	2.26e+06
4096	2	7	3.0	6.80e+06	2.27e+06
4096	2	8	1.9	4.37e+06	2.26e+06
4096	2	9	1.3	2.94e+06	2.32e+06
4096	2	10	1.1	2.41e+06	2.26e+06
4096	2	11	0.9	2.01e+06	2.32e+06
8192	2	1	268.5	6.06e+08	2.26e+06
8192	2	2	134.7	3.04e+08	2.26e+06
8192	2	3	71.8	1.62e+08	2.26e+06
8192	2	4	36.9	8.34e+07	2.26e+06
8192	2	5	19.3	4.35e+07	2.25e+06
8192	2	6	11.3	2.56e+07	2.27e+06
8192	2	7	6.4	1.45e+07	2.26e+06
8192	2	8	3.9	8.77e+06	2.27e+06
8192	2	9	2.7	6.26e+06	2.29e+06
8192	2	10	2.3	5.16e+06	2.28e+06
8192	2	11	2.1	4.93e+06	2.31e+06
8192	2	12	1.8	4.20e+06	2.34e+06
16384	2	1	542.0	1.22e+09	2.26e+06
16384	2	2	273.1	6.16e+08	2.26e+06
16384	2	3	137.9	3.11e+08	2.26e+06
16384	2	4	70.5	1.59e+08	2.26e+06
16384	2	5	41.1	9.29e+07	2.26e+06
16384	2	6	22.5	5.08e+07	2.26e+06
16384	2	7	13.3	3.00e+07	2.26e+06
16384	2	8	8.7	1.97e+07	2.26e+06
16384	2	9	6.5	1.48e+07	2.26e+06
16384	2	10	5.2	1.19e+07	2.28e+06
16384	2	11	4.7	1.06e+07	2.27e+06
16384	2	12	4.5	1.03e+07	2.27e+06
16384	2	13	3.9	9.00e+06	2.29e+06
32768	2	1	1053.7	2.38e+09	2.26e+06
